lyrics,sentiment
"You look at my lifestyle
I'm living my life now
I'm dealing with diligent Benjamin
How come my attitude piped down?
I'm fucking with Ice now
I'm fucking with shit that you only can get
On an oversea flight now
You scared of my heights now
But still, I got enemies giving me energy
I wanna fight now
Subliminal, sending me all of this hate
I thought I was holding the mic down
I thought I was holding my city up
I thought I was good in the media
You think I'm too hood in my video?
But really, no clue, you idiot
I just can't help myself
Even when that record spin
Every now and then, you hang yourself
'Cause I got the green and gold (With a million sold)
Plus plenty more, (and my dollar thicker)
But with or without the diamonds, though
(To you) I'm just another (Nigga!)","power, tension"
"I spent my whole life thinkin' out the box
Boxin' homies three-on-one, got DP'ed but I ain't drop
Chirp on me, here I come, brrt, spin around the block
They blurped on me, said I ran a stop sign but that's a lie
I spent my whole life starin' at the stage
Playin' Sega, daddy smokin' sherm, mama playin' spades
Catchin' vapors, grandma said I'd get some Jordans for my grades
That's my baby, when she died my heart broke a hundred ways
I spent my whole life tryna make it, tryna chase it
The cycle of a black man divided, tryna break it
You take a loss? Shit, don't cry about it, just embrace it
Minor setback for major comeback, that's my favorite
My nigga L said, ""You do a song with Nip, K. Dot, he a better Crip""
I said, ""He a man first, you hear the words out his lips
About flourishing from the streets to black businesses?""
Level four, yard livin', given to false imprisonment
Listen close, my nigga
It's bigger than deuces and fours, my nigga
Since elementary we close, my nigga, yeah, straight like that
I give you the game, go back to the turf and give it right back
For generations we been dealt bad hands with bad plans
Prove your dedication by hoppin' out Grand Am's
I'm at the premiere politickin' with Top, Nip, and Snoop
Damn, Pac watchin' the way we grew, from dedication
If it ain't congratulate then it look like hate
If it ain't congratulate then it look like what, Nipsey?
Hol' up","power, tension"
"Motherfucker know I started from the bottom, vodka baby bottle
Mixin' that with Similac, my momma knew I had a problem
Wasn't thinking 'bout no rapping, I was juuging for a dollar
Putting quarter pieces in the black Caprice and make it holla
No policing me, I got the beast in me, I gotta holla
Keep the decency and make them TNT my product
I'm a C-O-M-P-T-O-innovator, energizer
Inner city bullet flyin' 'til that bitch on auto pilot
Ah, shit! I don't give a fuck about your whereabouts
All I care about is wearing out your area
And airing out your upper body
When I catch ya walking out your parents' house
(Don't get it fucked up!) Homie got fucked up
Tryna park his tour bus, not knowing what's what
Or who's who, living in the L.A. County zoo
Pick them off like a big dog, motherfucker, woof!
Once upon a time, I shot a nigga on accident (Boom, boom, boom)
I tried to kill him but I guess I needed more practicing (Boom, boom, boom)
That's when I realized banging wasn't for everybody
Switch it up before my enemy or the sheriff got me
They liable to bury him, they nominated six to carry him
They worry him to death, but he no vegetarian
The beef is on his breath, inheriting the drama better than
A great white, nigga, this is life in my aquarium
[Chorus: Justus & Dr. Dre]
(Don't get it fucked up!) Been away from home
Been away from home all night long
(All they wanna know is: where you from?
Where you from, nigga, huh? Compton)","power, tension"
"I pop the pain away, I slide the pain away
I pop the pain away, I slide the pain away
I picked you up when you
Fell and cut your knee
Told you not to cry and held you
Close to me
Do you love me? Do you trust me?
Can I trust you? Don't judge me
I'ma die hard, it gets ugly
Too passionate, it gets ugly
Mmm, ah-ah
I wonder where I lost my way?
Mmm, ah-ah
Been waiting on your call all day
Tell me you in my corner right now
When I fall short, I'm leanin' on you to cry out
We all got enough to lie about
My truth too complicated to hide now
Can I open up? Is it safe or not?
I'm afraid a little, you relate or not?
Have faith a little, I might take my time
Ain't no savin' face this time
I got some regrets
I-I-I-I-I-I-I
But my past won't keep me from my best
I-I-I-I-I-I-I
Subtle mistakes felt like life or death
I-I-I-I-I-I-I
I wanna see the family stronger
I wanna see the money longer
You know that I'd die for you
I get emotional about life
The lost ones keepin' me up at night
The world be reminding me it's danger
I'll still risk it all for a stranger
If I told you who I am, would you use it against me?
Right or wrong, no stone, just love to send me","nostalgia, sadness, tension"
"I got, I got, I got, I got—
Loyalty, got royalty inside my DNA
Cocaine quarter piece, got war and peace inside my DNA
I got power, poison, pain, and joy inside my DNA
I got hustle, though, ambition flow inside my DNA
I was born like this, since one like this, immaculate conception
I transform like this, perform like this, was Yeshua new weapon
I don't contemplate, I meditate, then off your fucking head
This that put-the-kids-to-bed
This that I got, I got, I got, I got—
Realness, I just kill shit ’cause it's in my DNA
I got millions, I got riches buildin' in my DNA
I got dark, I got evil that rot inside my DNA
I got off, I got troublesome heart inside my DNA
I just win again, then win again like Wimbledon, I serve
Yeah, that’s him again, the sound that engine in is like a bird
You see fireworks and Corvette tire skrrt the boulevard
I know how you work, I know just who you are
See, you's a, you's a, you's a—
Bitch, your hormones prolly switch inside your DNA
Problem is, all that sucker shit inside your DNA
Daddy prolly snitched, heritage inside your DNA
Backbone don't exist, born outside a jellyfish, I gauge
See, my pedigree most definitely don't tolerate the front
Shit I've been through prolly offend you, this is Paula's oldest son
I know murder, conviction
Burners, boosters, burglars, ballers, dead, redemption
Scholars, fathers dead with kids and
I wish I was fed forgiveness
Yeah, yeah, yeah, yeah, soldier’s DNA (I’m a soldier's DNA)
Born inside the beast, my expertise checked out in second grade
When I was nine, on cell, motel, we didn’t have nowhere to stay
At twenty-nine, I've done so well, hit cartwheel in my estate
And I'm gon' shine like I’m supposed to, antisocial extrovert
And excellent mean the extra work
And absentness what the fuck you heard
And pessimists never struck my nerve
And Nazareth gonna plead his case
The reason my power's here on earth
Salute the truth, when the prophet say
I-I got loyalty, got royalty inside my DNA
This is why I say that hip hop has done more damage to young African Americans than racism in recent years
I-I got loyalty, got royalty inside my DNA
I live a better life, I'm rollin' several dice, fuck your life
I-I got loyalty, got royalty inside my DNA
I live a be-, fuck your life
Five, four, three, two, one
This is my heritage, all I'm inheritin'
Money and power, the mecca of marriages
Tell me somethin'
You motherfuckers can't tell me nothin'
I'd rather die than to listen to you
My DNA not for imitation
Your DNA an abomination
This how it is when you in the Matrix
Dodgin' bullets, reapin' what you sow
And stackin' up the footage, livin' on the go
And sleepin' in a villa
Sippin' from a Grammy, walkin' in the buildin'
Diamond in the ceilin', marble on the floors
Beach inside the window, peekin' out the window
Baby in the pool, godfather goals
Only Lord knows I've been goin' hammer
Dodgin' paparazzi, freakin' through the cameras
Eat at Four Daughters, Brock wearin' sandals
Yoga on a Monday, stretchin' to Nirvana
Watchin' all the snakes, curvin' all the fakes
Phone never on, I don't conversate
I don't compromise, I just penetrate
Sex, money, murder, these are the breaks
These are the times, level number nine
Look up in the sky, ten is on the way
Sentence on the way, killings on the way
Motherfucker, I got winners on the way
You ain't shit without a body on your belt
You ain't shit without a ticket on your plate
You ain't sick enough to pull it on yourself
You ain't rich enough to hit the lot and skate
Tell me when destruction gonna be my fate
Gonna be your fate, gonna be our faith
Peace to the world, let it rotate
Sex, money, murder, our DNA","power, tension"
"No more ""please, stop""
No more hashtag boo'd up screenshots
No more tryin' to make me jealous on your birthday
You know just how I made you better on your birthday, oh
Do he do you like this? Do he woo you like this?
Do he lay it down for you, touch your poona like this?
Matter fact, never mind, we'll let the past be
May be his right now, but your body's still me, woah",joyful-activation
"Niggas'll lose they mind for it, wine for it, dine for it (Pussy)
Spend time for it, see no colored line for it (Pussy)
Double back, handicap, and go blind for it (Pussy)
Pussy got endless prisoners, pussy always revengin' her
Pussy is calculatin' and good pussy is rather dangerous
Pussy can be so facetious, the heavyweight champ
Pussy is so undefeated, let's amen to that
I mean, the pump fakes on the Facebooks
And the screw face when the bae look
Won't get you no pussy
I mean, the fake chains and the code names
For insecure, gon' reassure you not to get pussy (You not to get)
You overcompensate too much for the pussy
You like to throw all kinda shade for the pussy
See, that's what pussy niggas do
I know the ways of a pussy, I see pussy lookin' at you
How many niggas get mistaken for clitoris in a day?
How many sentiments you make before runnin' pussy away?
How many times she gotta tell you that dick is disposable?
But if she fuck a young nigga like me, it's over for you
Solána, middle fingers up, speak your truth
","power, tension"
"Oh, Lamar
Hail Mary and marijuana, times is hard
Pray with the hooligans, shadows all in the dark
Fellowship with demons and relatives, I'm a star
Life is one funny ma'fucker
A true comedian, you gotta love him, you gotta trust him
I might be buggin', infomercials and no sleep
Introverted by my thoughts; children, listen, it gets deep
See, once upon a time inside the Nickerson Garden projects
The object was to process and digest poverty's dialect
Adaptation inevitable: gun violence, crack spot
Federal policies raid buildings and drug professionals
Anthony was the oldest of seven
Well-respected, calm and collected
Laughin' and jokin' made life easier; hard times, mama on crack
A four-year-old tellin' his nanny he needed her
His family history: pimpin' and bangin'
He was meant to be dangerous, clocked him a grip and start slangin'
Fifteen, scrapin' up his jeans with quarter pieces
Even got some head from a smoker last weekend
Dodged a policeman, workin' for his big homie
Small-time hustler, graduated to a brick on him
Ten-thousand dollars out of a project housing, that's on the daily
Seen his first mill' twenty years old, had a couple of babies
Had a couple of shooters, caught a murder case
Fingerprints on the gun they assumin', but witnesses couldn't prove it
That was back when he turned his back and they killed his cousin
He beat the case and went back to hustlin'
Bird-shufflin', Anthony rang
The first in the projects with the two-tone Mustang, that 5.0 thing
They say 5-0 came, circlin' parking lots and parking spots
And hoppin' out while harrassin' the corner blocks
Crooked cops told Anthony he should kick it
He brushed 'em off and walked back to the Kentucky Fried Chicken
See, at this chicken spot, there was a light-skinned nigga that talked a lot
With a curly top and a gap in his teeth, he worked the window
His name was Ducky, he came from the streets, The Robert Taylor Homes
Southside Projects, Chiraq, the Terror Dome
Drove to California with a woman on him and five-hundred dollars
They had a son, hopin' that he'd see college
Hustlin' on the side with a nine-to-five to freak it
Cadillac Seville, he'd ride his son around on weekends
Three-piece special with his name on the shirt pocket
'Cross the street from the projects, Anthony planned to rob it
Stuck up the place before, back in '84
That's when affiliation was really at gears of war
So many relatives tellin' us, sellin' us devilish works, killin' us, crime
Intelligent, felonious prevalent proposition with 9's
Ducky was well-aware
They robbed the manager and shot a customer last year
He figured he'd get on these niggas' good sides
Free chicken every time Anthony posted in line, two extra biscuits
Anthony liked him and then let him slide, they didn't kill him
In fact, it look like they're the last to survive, pay attention
That one decision changed both of they lives, one curse at a time
Reverse the manifest and good karma, and I'll tell you why
You take two strangers and put 'em in random predicaments
Give 'em a soul, so they can make their own choices and live with it
Twenty years later, them same strangers, you make 'em meet again
Inside recording studios where they reapin' their benefits
Then you start remindin' them about that chicken incident
Whoever thought the greatest rapper would be from coincidence?
Because if Anthony killed Ducky, Top Dawg could be servin' life
While I grew up without a father and die in a gunfight
*Gunshot*
Thgifnug a ni eid dna rehtaf a tuohtiw pu werg I elihW
Efil 'nivres eb dluoc gwaD poT ,ykcuD dellik ynohtnA fi esuaceB
Ecnedicnioc morf eb dluow reppar tsetaerg eht thguoht reveohW?
Tnedicni nekcihc taht tuoba meht 'nidnimer trats uoy nehT
Stifeneb rieht 'nipaer yeht erehw soiduts gnidrocer edisnI
Niaga teem me' ekam uoy ,sregnarts emas meht ,retal sraey ytnewT
Ti htiw evil dna seciohc nwo rieht ekam nac yeht os luos a me' eviG
Stnemaciderp modnar ni me' tup dna sregnarts owt ekat uoY
Yhw uoy llet ll'I dna ,amrak doog dna tsefinam eht esreveR
Emit a ta esruc eno ,sevil yeht fo htob degnahc noisiced eno tahT
Noitnetta yaP—
Erac tuB
—Tpecnoc etalucammi ,siht ekil eno ecnis retrauq eniacoC
AND ym edisni ytlayor tog ,ytlayoL
—Tog I ,tog I ,tog I ,tog I
So, I was takin' a walk the other day…","nostalgia, power, sadness, tension"
"New Kung Fu Kenny
Ain't nobody prayin' for me
Y'all know, what happens on Earth stays on Earth
Here we go!
I don't give a fuck, I don't give a fuck
I don't give a, I don't give a, I don't give a fuck
I'm willin' to die for this shit
I done cried for this shit, might take a life for this shit
Put the Bible down and go eye for an eye for this shit
D-O-T my enemy, won't catch a vibe for this shit, ayy
I been stomped out in front of my mama
My daddy commissary made it to commas
Bitch, all my grandmas dead
So ain't nobody prayin' for me, I'm on your head, ayy
Thirty millions later, know the feds watchin'
Auntie on my Telegram like, ""Be cautious!""
I be hangin' out at Tam's, I be on Stockton
I don't do it for the 'Gram, I do it for Compton
I'm willin' to die for this shit, nigga
I'll take your fuckin' life for this shit, nigga
We ain't goin' back to broke, family sellin' dope
That's why you maney-ass rap niggas better know
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element
I'm allergic to a bitch nigga, ayy
An imaginary rich nigga, ayy
Seven figures ho, that's slimmer than my bitch figure, ayy
Goin' digital and physical on all y'all, ayy
Bunch of criminals and money in my phone calls, ayy
We okay, we let the A1 fly
Relocate, jump on the same G5
Checkin' for me heavy 'cause I go, yeah, I go, yeah
They never been ready, yeah, I know, yeah, know, yeah
100K spread across the floor, 'cross the floor, yeah
None of y'all fuckin' with the flow, yeah, the flow, yeah
Years in the makin', and don't y'all mistake it
I got 'em by a landslide, we talkin' about races
You know this'll never be a tie, just look at they laces
You know careers take off, just gotta be patient
Mr. One through Five, that's the only logic
Fake my death, go to Cuba, that's the only option
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element
Damned if I do, if I don't (Yuh)
Goddamn us all if you won't (Yuh)
Damn, damn, damn, it's a goddamn shame
You ain't front in line, get out the goddamn way
Niggas thought they wasn't gonna see me, huh?
Niggas thought that K-Dot real life
Was the same life they see on TV, huh?
Niggas wanna flex on me and be in L.A. for free, huh?
Next time they hit the 10 freeway, we need a receipt, huh?
'Cause most of y'all ain't real, most of y'all gon' squeal
Most of y'all just envy, but jealousy get you killed
Most of y'all throw rocks and try to hide your hand
Just say his name and I promise that you'll see Candyman
Because it's all in your eyes, most of y'all tell lies
Most of y'all don't fade, most of y'all been advised
Last LP I tried to lift the black artists
But it's a difference 'tween black artists and wack artists
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
It's the one and only, the world's greatest, the Kid Capri
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element","power, tension"
"eurt si em tuoba yas yeht gnihtyrevE
Euphoria
Them super powers gettin' neutralized, I can only watch in silence
The famous actor we once knew is lookin' paranoid and now is spiralin'
You're movin' just like a degenerate, every antic is feelin' distasteful
I calculate you're not as calculated, I can even predict your angle
Fabricatin' stories on the family front 'cause you heard Mr. Morale
A pathetic master manipulator, I can smell the tales on you now
You'rе not a rap artist, you a scam artist with the hopes of being accеpted
Tommy Hilfiger stood out, but FUBU never had been your collection
I make music that electrify 'em, you make music that pacify 'em
I can double down on that line, but spare you this time, that's random acts of kindness
Know you a master manipulator and habitual liar too
But don't tell no lie about me and I won't tell truths 'bout you
Shoo, shoo, shoo
Shoo, shoo, shoo
Bee, bee, bee, bee, bee, bee
Yeah, I'm out the way, yeah, I'm low, okay
Yeah, the island right here's remote, okay
I ain't thinkin' about no reaper, nigga, I'm reapin' what I sow, okay
Got a Benjamin and a Jackson all in my house like I'm Joe, okay
Hellcat, made his homeboys and them type sell they soul, okay
Everybody wanna be demon 'til they get chipped by a throwaway
And I might do a show a day, once a lame, always a lame
Oh, you thought the money, the power or fame would make you go away?
Have you ever played have-you-ever? Okay, nigga, let's play
Have you ever walked your enemy down like with a poker face?
Have you ever paid five hundred thou' like to an open case?
Well, I have, and I failed at both, but I came out straight
I hate when a rapper talk about guns, then somebody die, they turn into nuns
Then hop online like ""Pray for my city,"" he fakin' for likes and digital hugs
His daddy a killer, he wanna be junior, they must've forgot the shit that they done
Dementia must run in his family, but let it get shaky
I'll park his son
The very first time I shot me a Drac', the homie had told me to aim it this way
I didn't point down enough, today, I'll show you I learned from those mistakes
Somebody had told me that you got a ring, on God, I'm ready to double the wage
I'd rather do that than let a Canadian nigga make Pac turn in his grave
Cutthroat business, you got shit twisted
What is it? The braids?
I hurt your feelings? You don't wanna work with me no more? Okay
It's three GOATs left, and I seen two of them kissin' and huggin' on stage
I love 'em to death, and in eight bars, I'll explain that phrase, huh
It's nothin' nobody can tell me, huh
I don't wanna talk on no celly, huh
You know I got language barriers, huh
It's no accent you can sell me, huh
Yeah, Cole and Aubrey know I'm a selfish nigga, the crown is heavy, huh
I pray they my real friends, if not, I'm YNW Melly
I don't like you poppin' shit at Pharrell, for him, I inherit the beef
Yeah, fuck all that pushin' P, let me see you push a T
You better off spinnin' again on him, you think about pushin' me
He's Terrence Thornton, I'm Terence Crawford, yeah, I'm whoopin' feet
We ain't gotta get personal, this a friendly fade, you should keep it that way
I know some shit about niggas that make Gunna Wunna look like a saint
This ain't been about critics, not about gimmicks, not about who the greatest
It's always been about love and hate, now let me say I'm the biggest hater
I hate the way that you walk, the way that you talk, I hate the way that you dress
I hate the way that you sneak diss, if I catch flight, it's gon' be direct
We hate the bitches you fuck 'cause they confuse themself with real women
And notice, I said ""we,"" it's not just me, I'm what the culture feelin'
How many more fairytale stories 'bout your life 'til we had enough?
How many more Black features 'til you finally feel that you're Black enough?
I like Drake with the melodies, I don't like Drake when he act tough
You gon' make a nigga bring back Puff, let me see if Chubbs really crash somethin'
Yeah, my first one like my last one, it's a classic, you don't have one
Let your core audience stomach that, then tell 'em where you get your abs from
V12, it's a fast one, baow-baow-baow, last one
Headshot for the year, you better walk around like Daft Punk
Remember?
Ayy, Top Dawg, who the fuck they think they playin' with?
Extortion my middle name as soon as you jump off of that plane, bitch
I'm allergic to the lame shit, only you like bein' famous
Yachty can't give you no swag neither, I don't give a fuck 'bout who you hang with
I hate the way that you walk, the way that you talk, I hate the way that you dress
Surprised you wanted that feature request, you know that we got some shit to address
I even hate when you say the word ""nigga,"" but that's just me, I guess
Some shit just cringeworthy, it ain't even gotta be deep, I guess
Still love when you see success, everything with me is blessed
Keep makin' me dance, wavin' my hand, and it won't be no threat
I'm knowin' they call you The Boy, but where is a man? 'Cause I ain't seen him yet
Matter fact, I ain't even bleed him yet, can I bleed him? (Bet)
When I see you stand by Sexyy Red, I believe you see two bad bitches
I believe you don't like women, it's real competition, you might pop ass with 'em
Let's speak on percentage, show me your splits, I'll make sure I double back with ya
You were signed to a nigga that's signed to a nigga that said he was signed to that nigga
Try cease and desist on the ""Like That"" record?
Ho, what? You ain't like that record?
""Back To Back,"" I like that record
I'ma get back to that, for the record
Why would I call around tryna get dirt on niggas? Y'all think all my life is rap?
That's ho shit, I got a son to raise, but I can see you don't know nothin' 'bout that
Wakin' him up, know nothin' 'bout that
Then tell him to pray, know nothin' 'bout that
Then givin' him tools to walk through life like day by day, know nothin' 'bout that
Teachin' him morals, integrity, discipline, listen, man, you don't know nothin' 'bout that
Speakin' the truth and consider what God's considerin', you don't know nothin' 'bout that
Ain't twenty-v-one, it's one-v-twenty if I gotta smack niggas that write with you
Yeah, bring 'em out too, I'll clean 'em out too, tell BEAM that he better stay right with you
Am I battlin' ghost or AI?
Nigga feelin' like Joel Osteen
Funny, he was in a film called A.I.
And my sixth sense tellin' me to off him
I'ma blick niggas all in they coffin
Yeah, OV-ho niggas is dick riders
Tell 'em run to America, they imitate heritage, they can't imitate this violence
What I learned is niggas don't like the West Coast, and I'm fine with it, I'll push the line with it
Pick a nigga off one at a time with it
We can be on a three-hour time difference
Don't speak on the family, crodie
It can get deep in the family, crodie
Talk about me and my family, crodie?
Someone gon' bleed in your family, crodie
I be at New Ho King eatin' fried rice with a dip sauce and a blammy, crodie
Tell me you're cheesin', fam
We can do this right now on the camera, crodie
Ayy, fuck y'all niggas, I don't trust y'all niggas
I wave one finger and thump y'all niggas like mmm
Field goal, punt y'all niggas, they punk y'all niggas, nobody never took my food
Whoever that's fuckin' with him, fuck you niggas, and fuck the industry too
If you take it there, I'm takin' it further
Psst, that's something you don't wanna do
Ooh
We don't wanna hear you say ""nigga"" no more
We don't wanna hear you say ""nigga"" no more
Stop","power, tension"
"Smokin' on your top five tonight, tonight
Yeah, I'm smokin' on your, what's his name, tonight, tonight
Smokin' on you, shores, ain't two-nine, yeah, two
I am the omega, pgLang, Rollie gang, SIE
Don't you address me unless it's with four letters
I thought you'd known better
I been duckin' the pandemic, I been—, social gimmicks
I been duckin' the overnight activists, yeah
I'm not a trending topic, I'm a—
Hold on, y'all niggas playin' with me, man
I am the omega, pgLang, Rollie gang, SIE
Don't you address me unless it's with four letters
Bitch, I thought you'd known better
I been duckin' the pandemic, I been duckin' the social gimmicks
I been duckin' the overnight activists, yeah
I'm not a trending topic, I'm a prophet
I answer to Metatron and Gabriel
Bitch, looking for a better me
I am a legacy, I come from the seventy
The Al Green offspring, guns and the melody
The big shot, wrist on cryotherapy
Soon as I press that button
Nigga better get right like the ambulance comin'
Us two ain't alike, he ain't been through nothin'
Dave Free got at least one B in the oven
I'm trippin', I'm juugin', my mental is amazing, brother
Pop off, only on occasions, brother
Rich nigga, momma know I made it, brother
Go figure, never caught cases, brother
Face it, brother, gracious brother
New flows comin', be patient, brother
Show my ass and take y'all to class
I can multitask like Megan, brother
2021, I ain't takin' no prisoner
Last year, y'all fucked up all the listener
Who went platinum? I call that a visitor
Who the fuck backin' 'em? All been falsified
The facts mean this a vaccine and the game need me to survive
The Elohim, the rebirth
Before you get to the Father, you gotta holla at me first, bitch
Smokin' on top fives
Motherfuck that album, fuck that single
Burn that hard drive (Burn that shit)
Ain't nobody safe
When I come, I'm killin' everybody that's outside (Who you with?)
Yeah, Kanye changed his life
But me, I'm still an old-school Gemini (Lil' bitch)
Let me jump in this bitch
Let me jump in this bitch
Two phones, but I only bring one in this bitch
One daughter, but they all my sons in this bitch
No hoes, ain't shit gettin' done in this bitch
I'm scary, I got a gun in this bitch
Smokin' on top fives
Stop playin', I'm that guy
Number two DM'ing my bitch
That's cool, I don't ask why","power, tension"
"You really need some therapy
Real nigga need no therapy, fuck you talkin' about?
Nah, nah, you sound stupid as fuck
Shit, everybody stupid
Yeah, well, you need to talk to somebody
Reach out to Eckhart
I come from a generation of home invasions and I got daddy issues, that's on me
Everything them four walls had taught me, made habits bury deep
That man knew a lot, but not enough to keep me past them streets
My life is a plot, twisted from directions that I can't see
Daddy issues ball across my head, told me, ""Fuck a foul""
I'm teary-eyed, wanna throw my hands, I won't think out loud
A foolish pride, if I lose again, won't go in the house
I stayed outside, laughin' with my friends, they don't know my lifе
Daddy issues made me lеarn losses, I don't take those well
Momma said, ""That boy is exhausted,"" he said, ""Go fuck yourself
If he give up now, that's gon' cost him, life's a bitch
You could be a bitch or step out the margin,"" I got up quick
I'm chargin' baskets and falling backwards, tryna keep balance
Oh, this the part where mental stability meets talent
Oh, this the part, he breaks my humility just for practice
Tactics we learned together, sore losers forever, daddy issues
I got daddy issues, that's on me
Lookin' for, ""I love you"", rarely empathizin' for my relief
A child that grew accustomed, jumping up when I scraped my knee
'Cause if I cried about it, he'd surely tell me not to be weak
Daddy issues, hid my emotions, never expressed myself
Men should never show feelings, being sensitive never helped
His momma died, I asked him why he goin' back to work so soon?
His first reply was, ""Son, that's life, and bills got no silver spoon""
Daddy issues, fuck everybody, go get your money, son
Protect yourself, trust nobody, only your momma'n'em
This made relationships seem cloudy, never attached to none
So if you took some likings around me, I might reject the love
Daddy issues kept me competitive, that's a fact, nigga
I don't give a fuck what's the narrative, I am that nigga
When Kanye got back with Drake, I was slightly confused
Guess I'm not mature as I think, got some healin' to do
Egotistic, zero-given fucks and to be specific (Ah)
Need assistance with the way I was brought up (Ah, ah)
What's the difference when your heart is made of stone
And your mind is made of gold
And your tongue is made of sword, but it may weaken your soul?
My niggas ain't got no daddy, grow up overcompensatin'
Learn shit 'bout bein' a man and disguise it as bein' gangsta
I love my father for tellin' me to take off the gloves
'Cause everything he didn't want was everything I was
And to my partners that figured it out without a father
I salute you, may your blessings be neutral to your toddlers
It's crucial, they can't stop us if we see the mistakes
'Til then, let's give the women a break, grown men with daddy issues","power, tension"
